Scenario - Touch Movie Choice
Logfile written - 06/14/2016 09:55:31

Trial	Event Type	Code	x(num)	y(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
254	Picture	stim			7051488	0	1	167	1	0	next	other	0
255	Picture	start			7081810	0	1	500	1	0	next	other	0
256	Picture	stim			7106801	0	1	167	1	0	next	other	0
257	Picture	start			7137956	0	1	500	1	0	next	other	0
258	Picture	stim			7162946	0	1	167	1	0	next	other	0
259	Picture	start			7193601	0	1	500	1	0	next	other	0
260	Picture	stim			7218592	0	1	167	1	0	next	other	0
261	Picture	start			7249747	0	1	500	1	0	next	other	0
262	Picture	stim			7274737	0	1	167	1	0	next	other	0
263	Picture	start			7304892	0	1	500	1	0	next	other	0
264	Picture	stim			7329883	0	1	167	1	0	next	other	0
265	Picture	start			7360871	0	1	500	1	0	next	other	0
266	Picture	stim			7385862	0	1	167	1	0	next	other	0
267	Picture	start			7416183	0	1	500	1	0	next	other	0
268	Picture	stim			7441174	0	1	167	1	0	next	other	0
269	Picture	start			7472162	0	1	500	1	0	next	other	0
270	Picture	stim			7497153	0	1	167	1	0	next	other	0
271	Picture	start			7528307	0	1	500	1	0	next	other	0
272	Picture	stim			7553298	0	1	167	1	0	next	other	0
273	Picture	start			7584286	0	1	500	1	0	next	other	0
274	Picture	stim			7609277	0	1	167	1	0	next	other	0
275	Picture	start			7639432	0	1	500	1	0	next	other	0
276	Picture	stim			7664422	0	1	166	1	0	next	other	0
277	Picture	start			7695244	0	1	500	1	0	next	other	0
278	Picture	stim			7720235	0	1	167	1	0	next	other	0
279	Picture	start			7751389	0	1	500	1	0	next	other	0
280	Picture	stim			7776380	0	1	167	1	0	next	other	0
281	Picture	start			7806535	0	1	500	1	0	next	other	0
282	Picture	stim			7831525	0	1	167	1	0	next	other	0
283	Picture	start			7862680	0	1	500	1	0	next	other	0
284	Picture	stim			7887671	0	1	167	1	0	next	other	0
285	Picture	start			7917660	0	1	500	1	0	next	other	0
286	Picture	stim			7942650	0	1	167	1	0	next	other	0
287	Picture	start			7972639	0	1	500	1	0	next	other	0
288	Picture	stim			7997629	0	1	167	1	0	next	other	0
289	Picture	start			8028617	0	1	500	1	0	next	other	0
290	Picture	stim			8053608	0	1	167	1	0	next	other	0
291	Picture	start			8083763	0	1	500	1	0	next	other	0
292	Picture	stim			8108754	0	1	167	1	0	next	other	0
293	Picture	start			8139908	0	1	500	1	0	next	other	0
294	Picture	stim			8164899	0	1	167	1	0	next	other	0
295	Picture	start			8195887	0	1	500	1	0	next	other	0
296	Picture	stim			8220878	0	1	167	1	0	next	other	0
297	Picture	start			8251200	0	1	500	1	0	next	other	0
298	Picture	stim			8276190	0	1	167	1	0	next	other	0
299	Picture	start			8306512	0	1	500	1	0	next	other	0
300	Picture	stim			8331502	0	1	167	1	0	next	other	0
301	Picture	start			8361658	0	1	500	1	0	next	other	0
302	Picture	stim			8386648	0	1	167	1	0	next	other	0
303	Picture	start			8417470	0	1	500	1	0	next	other	0
304	Picture	stim			8442460	0	1	167	1	0	next	other	0
305	Picture	start			8472615	0	1	500	1	0	next	other	0
306	Picture	stim			8497606	0	1	167	1	0	next	other	0
307	Picture	start			8528761	0	1	500	1	0	next	other	0
308	Picture	stim			8553751	0	1	167	1	0	next	other	0
309	Picture	start			8584740	0	1	500	1	0	next	other	0
310	Picture	stim			8609730	0	1	167	1	0	next	other	0
311	Picture	start			8640052	0	1	500	1	0	next	other	0
312	Picture	stim			8665042	0	1	167	1	0	next	other	0
313	Picture	start			8695364	0	1	500	1	0	next	other	0
314	Picture	stim			8720355	0	1	167	1	0	next	other	0
315	Picture	start			8750510	0	1	500	1	0	next	other	0
316	Picture	stim			8775500	0	1	167	1	0	next	other	0
317	Picture	start			8805489	0	1	500	1	0	next	other	0
318	Picture	stim			8830480	0	1	167	1	0	next	other	0
319	Picture	start			8860635	0	1	500	1	0	next	other	0
320	Picture	stim			8885625	0	1	167	1	0	next	other	0
321	Picture	start			8916946	0	1	500	2	0	next	other	0
322	Picture	stim			8941937	0	1	167	1	0	next	other	0
323	Picture	start			8973092	0	1	500	1	0	next	other	0
324	Picture	stim			8998083	0	1	167	1	0	next	other	0
325	Picture	start			9029070	0	1	500	1	0	next	other	0
326	Picture	stim			9054061	0	1	167	1	0	next	other	0
327	Picture	start			9084883	0	1	500	1	0	next	other	0
328	Picture	stim			9109874	0	1	167	1	0	next	other	0
329	Picture	start			9140029	0	1	500	1	0	next	other	0
330	Picture	stim			9165019	0	1	167	1	0	next	other	0
331	Picture	start			9196341	0	1	500	1	0	next	other	0
332	Picture	stim			9221331	0	1	167	1	0	next	other	0
333	Picture	start			9251819	0	1	500	1	0	next	other	0
334	Picture	stim			9276810	0	1	167	1	0	next	other	0
335	Picture	start			9307798	0	1	500	1	0	next	other	0
336	Picture	stim			9332789	0	1	167	1	0	next	other	0
337	Picture	start			9362944	0	1	500	1	0	next	other	0
338	Picture	stim			9387934	0	1	167	1	0	next	other	0
339	Picture	start			9418923	0	1	500	1	0	next	other	0
340	Picture	stim			9443913	0	1	167	1	0	next	other	0
341	Picture	start			9474235	0	1	500	1	0	next	other	0
342	Picture	stim			9499226	0	1	167	1	0	next	other	0
343	Picture	start			9530547	0	1	500	1	0	next	other	0
344	Picture	stim			9555537	0	1	167	1	0	next	other	0
345	Picture	start			9586526	0	1	500	1	0	next	other	0
346	Picture	stim			9611516	0	1	167	1	0	next	other	0
347	Picture	start			9641505	0	1	500	1	0	next	other	0
348	Picture	stim			9666495	0	1	166	1	0	next	other	0
349	Picture	start			9697817	0	1	500	1	0	next	other	0
350	Picture	stim			9722807	0	1	167	1	0	next	other	0
351	Picture	start			9753296	0	1	500	1	0	next	other	0
352	Picture	stim			9778286	0	1	166	2	0	next	other	0
353	Picture	start			9808275	0	1	500	1	0	next	other	0
354	Picture	stim			9833265	0	1	167	1	0	next	other	0
355	Picture	start			9864420	0	1	500	1	0	next	other	0
356	Picture	stim			9889411	0	1	167	1	0	next	other	0
357	Picture	start			9919899	0	1	500	1	0	next	other	0
358	Picture	stim			9944890	0	1	167	1	0	next	other	0
359	Picture	start			9975711	0	1	500	1	0	next	other	0
360	Picture	stim			10000702	0	1	167	1	0	next	other	0
